cuidar,s’occuper/prendre soin
desarrollar,développer
hacer trampas,tricher
ponerse,se mettre
entretenido,divertissant
encantador,charmant
emprendedor,entreprenant
sincero,sincère
miedoso,peureux
amable,aimable
de repente,soudain
muela,dent
multa,amende/contravention
vago,vague
cobarde,lâche
astuto,astucieux
aburrido,ennuyeux
cariñoso,affectueux
terco,têtu
leal,fidèle
alegre,joyeux
callado,silencieux
estresado,stressé
mareado,étourdi
agobiado,accablé
nariz,nez
redondo/a,rond
delgado/a,mince
arruga,ride
torcido/a,déformé
ancho/a,large
castaño (color),châtain
ojos rasgado,yeux bridés
experiencia,expérience
crear,créer
creer,croire
enfrentar,opposer/faire face
remiedo,remède
viandante,passant
delicia,délice
tranvia,tram
excursionista,randonneur
atropellar,renverser/écraser (voiture)
palanca,levier
sencilla,simple
duda,doute
entorno,environnement/cadre
desprecio,mépris
pauta,schéma/modèle
asombrosamente,étonnament
ajedrez,échecs
sintonizar con,régler sur/coïncider avec
ajeno,étranger
automata,automate
autonomo,autonome
sesgos,biais/préjugés
reforzar/fortalecerse,renforcer/améliorer
afortunadamente,heuresement
reír,rire
brújula,boussole
tener por norte/tener como norte,avoir/garder pour objectif
compasiva,compatissante
dato,donnée
fecundidad,fécondité/fertilité
asignatura,cours/enseignement
logro,réalisation/réussite
Humanidades,sciences Humaines
proporcionar,fournir
diseñar,concevoir
sentido,sens
escaso,faible/peu
aprecio,attrait
investigacion,la Recherche
fomentar,promouvoir
docencia,l’enseigement
prometedor,prometteur
caber en,tenir dans/rentrer dans
cabría,pourrait
amistoso,amical
ocio,loisir/divertissement
poseer,jouir de
certamen,concours
desempeño,bon résultats (académiques)
alcanzar,atteindre
supervivencia,survie
postergar,reporter/ repousser
atropello,abus
fingir,faire semblant de
escrache,dénoncer/ mettre en évidence (politique)
alivio,soulagement
desoir,ne pas écouter/ignorer
guión (pelicula),scénario
hado,destin
arrancar,arracher
empecinamiento,entêtement/ acharnement
empeño,ténacité/ perseverance
a renglón seguido,immédiatement après
callejon,ruelle
palmario/a,frappant/ flagrant / évident
con esmero,avec soin
ápice,une once
aprovechar,profiter de
tacaño,avare/radin
arrastrar,entrainer/emporter
extrañeza,étonnement/surprise
tormenta,tempête
nubes,nuages
hombros,épaules
encima/sobre,au dessus
éxito,succes
desafiar,défier
rizado (pelo),frisé (cheveux)
sonriendo,souriant
mente,esprit / cerveau
primacia,suprématie
inmerso,immergé/ submergé
cazador,chasseur
semejante,semblable
en torno a,aux alentours de
avergonzar,faire honte
avergonzarse,avoir hone
temer,avoir peur de/ craindre
aguantar,supporter/ soutenir/ tenir bon
extrañarse,s’étonner
apetecer,avoir envie de
conseguir,obtenir
lograr,réussir
rogar,supplier/ implorer
bastar con,suffire de
comprobar,confirmer
aclarar,éclaircir
razar,prier
vela,bougie
tela,tissus
castigar,punir
ek cansancio,la fatigue
alma,âme
mariposa,papillon
antepasado,ancêtre
fallecidos,décédé
agasajar,offrir (massivement)
el màs allà,l'au delà
camposanto,cimetière
agradecer,remercier
los favores prestados,les services accomplis
el temor,la crainte
saborear,savourer
espectros,fantômes
panteón,tombe
imprescindible,indispensable
desobediencia,désobéissance
lograr,atteindre/réaliser
entregar...a,livrer/décerner à 
ensalzar,mettre en avant
arriesgar,risquer
el miedo,la peur
persseguir,poursuivre
concienciar,sensibiliser
equivocarse,se tromper
desafiar a,défier
un reto,le défi
infringir/quebrantar,enfreindre
el plomo,le plomb
el grifo,le robinet
un sorbo de agua,une gorgée d'eau
el envenenamiento,l'envenimement
acatar,respecter
echar un vistazo,jeter un coup d'eau
camarero,serveur
estar agotado,être épuisé
contestar,répondre
la boda,le mariage
caber,contenir
oleada,vague
desperdirse,se réveiller
porvenir,avenir
ahorrar,économiser
lapso,délai
sastrerias,tailleurs
bodega,cave à vin
el cese, l'arrêt
recién,recemment
radicarse,s'installer
la acogida,l'acceuil
heredar,hériter
hincharse,segonfler
impedir,empêcher
la huelga,la grève
una pesadilla,un cauchemar
la jubilacion,la retraite
demoledor,écransant
difundir,diffuser
el saneamiento,l'assainissement
vertir,(dé)verser
desechos,déchets
enmarcado,encadré
aserrín,sciure
la maceta,le pot
hornear,cuire au four
una brocha, un pinceau
casero,fait maison
galardón,prix
mu~neca,poupée
galletas,biscuits
cara,visage
llevar el pelo largo,avoir les cheveux longs
coger,prendre
despegar,décoller
mantenerse,entretenir (financièrement)
el patio,la récréation
estropearse,tomber en panne
apagar,éteindre
casarse,se marier
la garganta,la gorge
estupendamente,à merveille
pajita,paille
rastrear,ratisser
el rastrillo,le râteau
el cierre,la fermeture
avisar,prévenir
pulsar un botn,apuuyer sur un bouton
mojarse,se muoiller
la comodidad,le confort
dar la vuelta del mundo,faire le tour du monde
despertador,réveil
despacho,bureau
echar,verser
traje,costume
seda,soie
